usuario_id,publicaciones,likes_recibidos,comentarios_recibidos,seguidores,horas_uso,tasa_interaccion
111,13,786,188,422,37.83,25.7499
112,9,400,97,543,39.77,12.4958
113,11,505,52,167,45.3,12.2951
114,19,1472,325,975,50.9,35.3052
115,9,327,69,140,26.96,14.6895
116,12,423,57,433,45.7,10.5032
117,10,298,51,499,29.9,11.6708
118,11,806,120,548,49.67,18.6434
119,17,1077,190,406,33.65,37.6561
120,13,786,137,817,48.13,19.1756
121,12,318,49,340,61.07,6.0097
122,12,603,83,1125,54.65,12.5537
123,4,250,54,371,48.69,6.2435
124,10,233,25,250,36.42,7.0836
125,16,690,108,607,59.88,13.3264
126,12,311,72,418,53.96,7.0973
127,14,828,117,161,24.79,38.1131
128,12,534,84,192,28.94,21.3552
129,9,315,61,378,14.49,25.9576
130,6,332,46,305,26.55,14.2371
131,10,591,49,449,32.95,19.4211
132,11,553,82,219,30.12,21.0793
133,10,815,133,693,52.48,18.0654
134,14,437,77,589,50.33,10.2133
135,16,705,91,150,36.25,21.9614
136,10,475,67,611,32.63,16.6129
137,27,525,83,186,33.09,18.3768
138,8,349,32,267,38.24,9.9622
139,22,1600,210,431,41.46,43.658
140,8,239,32,352,31.91,8.4928
141,16,217,42,178,40.69,6.365
142,10,373,91,81,31.03,14.9547
143,6,372,40,674,64.44,6.3937
144,13,879,110,247,42.0,23.548
145,16,699,127,358,39.16,21.0946
146,11,199,24,401,38.06,5.8584
147,8,198,43,271,35.93,6.7073
148,15,824,104,986,30.34,30.5847
149,10,178,30,380,50.08,4.1535
150,7,255,60,126,27.12,11.6133
151,10,303,71,679,55.14,6.7822
152,11,788,72,347,47.56,18.0813
153,10,492,67,170,31.16,17.9399
154,12,451,103,791,36.14,15.3298
155,10,464,100,158,37.04,15.2262
156,12,281,49,361,42.77,7.7162
157,7,496,109,772,58.61,10.3216
158,9,272,37,435,20.45,15.1089
159,13,235,44,122,44.83,6.223
160,19,853,197,251,44.78,23.4465
161,11,526,51,115,37.34,15.4512
162,17,1067,201,499,48.8,25.9828
163,14,376,55,364,46.51,9.2663
164,18,1284,193,455,21.15,69.8497
165,9,400,34,184,42.07,10.3166
166,18,789,125,217,25.28,36.1519
167,5,102,16,47,42.44,2.7802
168,8,296,41,127,43.02,7.8344
169,14,851,191,1104,45.96,22.6742
170,11,692,140,1074,29.31,28.3904
171,10,407,56,281,39.16,11.8231
172,5,378,58,303,34.24,12.7333
173,15,551,99,462,28.85,22.5306
174,12,279,61,178,39.49,8.61
175,18,410,99,698,30.14,16.8872
176,19,550,125,255,36.0,18.7522
177,18,703,136,273,43.61,19.2406
178,19,691,118,193,48.47,16.69
179,7,321,77,117,30.95,12.8604
180,13,812,116,229,32.13,28.8863
181,16,381,77,278,53.81,8.5114
182,19,619,126,291,42.1,17.6948
183,10,787,163,519,38.89,24.4302
184,11,685,155,642,36.71,22.8842
185,7,410,97,106,29.32,17.2931
186,13,969,210,322,45.18,26.0939
187,10,478,70,317,50.12,10.9341
188,13,936,156,195,44.92,24.3093
189,14,316,70,185,47.54,8.1191
190,9,119,19,63,42.78,3.226
191,11,331,49,251,33.94,11.195
192,12,351,80,643,29.32,14.6986
193,13,755,119,466,40.29,21.6915
194,10,189,47,300,44.01,5.3619
195,8,415,69,324,47.54,10.18
196,10,245,35,205,60.78,4.6069
197,12,557,54,336,27.65,22.0951
198,8,171,13,1117,39.48,4.6606
199,11,333,59,439,27.5,14.2563
200,12,618,65,107,49.15,13.8962
201,11,413,98,197,32.87,15.5452
202,11,603,56,181,42.1,15.6527
203,20,588,86,319,38.58,17.468
204,10,275,52,163,34.56,9.4627
205,12,824,85,268,42.6,21.3404
206,9,324,76,250,44.56,8.9761
207,10,238,21,251,38.53,6.7216
208,10,518,49,772,61.74,9.1836
209,16,327,36,170,24.45,14.8488
210,13,677,140,500,44.07,18.5368
211,13,392,93,709,31.34,15.4737
212,11,816,107,309,56.88,16.2274
213,17,1359,179,628,46.74,32.9055
214,13,643,148,466,36.54,21.645
215,12,280,31,541,39.72,7.83
216,12,264,36,302,41.47,7.2333
217,10,631,55,262,51.44,13.3352
218,15,1051,166,913,38.23,31.8375
219,12,759,116,687,47.41,18.4579
220,12,381,67,142,16.18,27.6924
221,11,718,78,650,43.94,18.1158
222,12,413,95,421,62.24,8.1618
223,9,782,131,802,46.58,19.5993
224,12,812,75,680,57.26,15.4916
225,13,751,142,215,44.18,20.2139
226,9,377,37,323,40.94,10.1116
227,13,333,46,125,40.62,9.3296
228,19,353,57,263,55.71,7.3596
229,7,262,30,503,44.67,6.5365
230,11,676,98,260,37.19,20.8146
231,10,708,131,420,29.15,28.7828
232,9,188,34,267,46.63,4.7608
233,18,921,210,285,42.71,26.4808
234,13,679,145,691,40.87,20.1633
235,15,1032,257,709,41.74,30.8798
236,14,784,187,344,45.5,21.3414
237,12,647,93,258,32.15,23.0206
238,9,703,167,577,54.2,16.0524
239,8,311,62,197,44.49,8.3841
240,13,536,57,120,53.44,11.0974
241,8,328,49,668,28.67,13.1489
242,12,474,84,223,45.18,12.3516
243,9,539,56,505,41.52,14.3319
244,13,605,79,405,53.16,12.8676
245,14,402,78,123,34.49,13.9154
246,16,967,109,190,43.93,24.4945
247,6,216,39,182,34.5,7.3906
248,14,485,87,270,38.86,14.7198
249,9,386,80,387,41.07,11.3458
250,10,380,50,72,47.31,9.0883
251,12,252,35,198,40.76,7.0416
252,16,1579,238,1104,34.84,52.1573
253,14,580,46,564,32.75,19.1163
254,12,1045,106,769,24.99,46.0526
255,13,682,84,422,37.12,20.6345
256,17,380,85,1062,44.27,10.5032
257,15,1110,266,248,40.55,33.9293
258,14,704,74,420,44.38,17.5289
259,11,609,108,126,53.83,13.3197
260,10,321,57,213,40.29,9.3819
261,17,1331,279,334,41.8,38.5131
262,9,290,48,225,35.47,9.5285
263,10,626,88,447,50.13,14.244
264,10,308,34,415,47.87,7.1447
265,14,396,32,153,53.85,7.9476
266,10,275,41,382,43.35,7.2903
267,11,859,190,570,48.69,21.5438
268,13,677,137,167,46.26,17.5977
269,11,364,47,465,63.56,6.4668
270,12,676,107,247,48.04,16.3
271,16,1285,188,417,42.27,34.8485
272,14,471,84,428,36.98,15.0083
273,17,1167,105,1227,31.68,40.1549
274,9,562,133,515,46.65,14.8992
275,10,222,46,1213,35.83,7.4796
276,16,717,122,302,42.35,19.8102
277,8,511,107,269,57.95,10.6639
278,12,249,61,347,45.08,6.8763
279,12,777,187,372,42.79,22.5269
280,14,718,59,214,24.41,31.83
281,5,86,14,476,52.49,1.9051
282,11,176,27,124,27.45,7.3951
283,13,848,205,246,48.0,21.9372
284,13,567,80,331,19.42,33.3203
285,11,567,92,823,33.91,19.4326
286,10,294,43,218,43.08,7.8234
287,11,202,43,413,26.21,9.3483
288,12,971,151,460,40.93,27.4093
289,11,762,146,869,42.48,21.3747
290,18,614,73,259,48.95,14.0353
291,8,481,76,924,41.17,13.5306
292,17,1095,190,167,38.26,33.5826
293,17,1144,141,181,42.34,30.3525
294,17,1366,186,448,51.51,30.1302
295,11,836,115,454,42.78,22.2281
296,14,731,156,300,43.04,20.6069
297,9,510,68,180,49.0,11.7965
298,11,299,59,177,49.77,7.1927
299,15,768,154,503,44.87,20.547
300,10,742,124,362,44.29,19.5529
301,9,590,114,393,29.81,23.6158
302,12,656,91,537,37.55,19.8945
303,12,484,73,177,42.16,13.2119
304,10,710,105,466,34.63,23.5377
305,13,268,64,226,45.27,7.3336
306,11,455,86,192,47.2,11.462
307,16,568,89,226,46.87,14.0168
308,13,1048,105,588,49.7,23.2
309,9,363,69,176,45.25,9.5473
310,17,1116,184,183,37.11,35.0296
311,11,747,144,182,29.64,30.0642
312,12,464,92,562,41.3,13.4616
313,19,1278,233,280,33.7,44.8388
314,13,425,103,294,39.56,13.3459
315,9,395,37,138,43.56,9.9178
316,11,419,83,253,39.34,12.7603
317,10,520,129,310,50.63,12.8192
318,12,609,95,573,43.95,16.0185
319,14,413,43,456,27.81,16.3945
320,12,341,76,231,49.85,8.3645
321,5,258,44,164,35.69,8.462
322,16,1564,154,1149,49.2,34.9163
323,12,455,113,675,49.54,11.4648
324,10,432,79,139,44.06,11.5977
325,15,631,134,124,21.77,35.1391
326,13,391,86,390,38.41,12.4202
327,13,385,72,126,50.48,9.0535
328,9,507,95,268,54.53,11.0403
329,12,700,160,385,56.86,15.1242
330,9,590,131,169,65.66,10.9812
331,14,1094,196,578,30.63,42.1123
332,12,468,56,694,53.76,9.7467
333,16,1007,100,744,36.94,29.969
334,9,615,57,253,30.73,21.8662
335,10,425,93,799,35.4,14.6331
336,11,236,31,180,49.06,5.4419
337,12,701,71,235,27.53,28.0418
338,10,553,63,134,42.19,14.6005
339,13,451,78,262,47.24,11.1983
340,6,196,42,506,29.37,8.1033
341,9,561,96,455,58.77,11.1799
342,5,301,53,667,52.18,6.7844
343,14,1188,280,835,42.99,34.1454
344,12,400,96,304,42.36,11.7089
345,14,1182,295,688,50.68,29.1448
346,10,725,136,1063,48.59,17.7209
347,14,310,53,136,42.8,8.4819
348,15,1074,262,941,54.39,24.5639
349,6,501,81,591,15.43,37.7199
350,10,494,97,480,44.73,13.2119
351,12,342,40,394,40.66,9.3955
352,12,760,84,429,25.78,32.735
353,8,157,36,202,29.11,6.6304
354,16,1093,118,304,29.42,41.1564
355,10,505,62,260,48.95,11.5837
356,10,742,75,396,35.33,23.1222
357,16,398,39,549,42.57,10.2649
358,12,300,46,99,18.23,18.9842
359,19,1345,161,265,42.33,35.5767
360,15,1088,131,367,53.35,22.8506
361,9,310,54,394,36.27,10.0358
362,15,914,189,641,41.81,26.3827
363,5,120,25,532,47.56,3.0485
364,9,184,29,429,38.8,5.4897
365,5,210,30,155,42.28,5.6768
366,12,780,176,324,51.23,18.6602
367,14,679,131,347,41.54,19.4984
368,8,348,70,237,16.3,25.6413
369,13,262,37,171,42.37,7.0573
370,13,633,66,213,27.72,25.2124
371,11,559,139,266,50.17,13.914
372,10,413,81,237,48.2,10.2492
373,7,495,116,294,37.44,16.3211
374,10,574,133,170,42.48,16.642
375,10,352,83,240,43.18,10.0744
376,10,823,129,606,32.36,29.4211
377,16,641,61,169,53.28,13.1757
378,11,481,79,108,52.63,10.64
379,14,820,102,195,14.49,63.6211
380,8,554,53,534,45.3,13.3983
381,8,408,99,440,43.96,11.5335
382,8,357,46,156,31.16,12.9314
383,7,495,60,321,39.84,13.9291
384,14,519,58,186,41.34,13.9563
385,17,1016,104,185,24.61,45.5162
386,11,606,91,242,34.65,20.1176
387,11,520,123,530,38.96,16.5032
388,6,304,50,390,28.35,12.4857
389,11,470,61,412,35.82,14.8253
390,8,214,30,753,49.4,4.9394
391,15,894,174,272,29.58,36.1056
392,17,1390,130,476,46.32,32.8149
393,11,632,109,222,45.05,16.4481
394,14,962,87,282,51.2,20.489
395,12,556,103,115,54.47,12.0994
396,12,413,98,516,60.61,8.4311
397,9,270,48,309,41.57,7.6497
398,8,549,68,278,44.27,13.9377
399,10,822,165,439,43.97,22.4478
400,13,689,141,153,39.59,20.9654
401,16,965,116,1218,40.84,26.4709
402,10,600,99,383,45.0,15.5319
403,9,231,55,160,56.64,5.0496
404,7,475,91,357,38.51,14.6966
405,10,352,65,208,52.53,7.9384
406,10,302,75,180,37.89,9.9495
407,9,165,27,331,44.78,4.2874
408,12,516,74,559,37.05,15.9261
409,11,725,127,538,20.48,41.6008
410,11,495,95,353,24.77,23.8154
411,14,1010,147,371,42.06,27.5085
412,11,775,167,305,52.04,18.1027
413,9,633,98,619,37.34,19.5751
414,13,426,51,522,48.99,9.7369
415,7,385,39,234,17.31,24.4949
416,9,604,63,332,55.45,12.0285
417,13,957,107,275,20.95,50.7837
418,13,208,47,242,33.45,7.6244
419,11,371,82,502,14.15,32.0164
420,12,703,117,400,33.78,24.274
421,14,346,43,154,35.81,10.8635
422,16,497,42,350,40.17,13.4168
423,5,164,15,190,50.49,3.545
424,5,77,13,109,39.35,2.2873
425,15,1117,271,313,39.81,34.865
426,17,1061,111,684,20.96,55.9167
427,15,741,177,105,34.44,26.6533
428,13,299,34,199,58.5,5.6927
429,8,173,21,217,35.27,5.5008
430,9,217,39,280,40.11,6.3819
431,16,1411,143,911,40.51,38.3598
432,11,791,72,291,39.28,21.9724
433,14,947,122,374,66.87,15.986
434,12,748,182,832,20.61,45.1171
435,12,368,86,198,43.18,10.5145
436,13,304,28,312,39.17,8.4749
437,9,514,84,204,29.33,20.3906
438,11,604,137,436,42.46,17.4502
439,11,187,31,211,48.89,4.4587
440,12,465,97,194,14.66,38.3333
441,9,239,51,391,34.97,8.294
442,12,246,33,484,34.88,7.9997
443,15,367,67,130,40.62,10.6853
444,14,722,63,264,49.37,15.899
445,7,514,105,485,33.14,18.6782
446,13,541,52,413,59.11,10.0328
447,6,403,35,331,22.73,19.2708
448,14,379,47,42,51.6,8.2552
449,9,280,45,303,36.55,8.8931
450,17,501,98,198,52.95,11.3124
451,14,929,160,277,19.27,56.5207
452,12,586,90,560,50.56,13.3711
453,7,439,64,186,40.23,12.5018
454,17,306,73,485,43.84,8.6444
455,18,797,160,1783,41.39,23.1232
456,13,980,229,634,32.33,37.3949
457,8,271,42,345,29.59,10.5787
458,22,1023,251,332,54.64,23.3167
459,7,108,18,249,37.12,3.3944
460,12,802,125,339,33.43,27.7304
461,13,983,204,670,39.29,30.2082
462,13,308,66,557,48.09,7.7769
463,10,238,32,175,48.54,5.5627
464,10,1003,173,1199,31.37,37.4871
465,11,725,114,239,50.75,16.5314
466,12,484,95,98,32.71,17.6995
467,18,1171,148,226,36.2,36.44
468,10,420,48,253,34.85,13.4285
469,11,488,105,114,16.73,35.4531
470,11,570,141,393,28.25,25.1683
471,8,425,66,918,36.19,13.5689
472,11,979,244,824,25.16,48.617
473,8,479,97,140,47.68,12.08
474,14,527,68,406,51.35,11.5875
475,16,1078,245,193,40.02,33.0566
476,11,290,63,211,35.05,10.07
477,18,1500,306,533,48.94,36.9024
478,8,671,116,423,36.74,21.4189
479,9,140,24,142,29.21,5.6149
480,15,1147,217,486,61.77,22.0818
481,8,481,100,366,44.0,13.2052
482,18,822,159,535,40.17,24.4215
483,16,979,143,147,48.72,23.03
484,14,397,82,720,27.18,17.6248
485,13,1141,240,875,57.51,24.0116
486,13,457,78,358,55.98,9.5574
487,10,186,36,334,56.97,3.8967
488,11,329,79,561,37.07,11.0058
489,12,484,62,357,49.81,10.9618
490,15,762,79,219,55.77,15.0789
491,16,608,65,293,46.33,14.5251
492,13,408,34,456,37.41,11.8152
493,17,705,71,340,37.67,20.5985
494,21,554,55,208,38.12,15.9756
495,15,808,175,167,23.3,42.1949
496,13,583,127,382,34.12,20.8104
497,13,282,31,680,43.17,7.25
498,14,588,72,330,44.0,14.9993
499,14,1199,282,538,30.41,48.695
500,9,753,84,620,46.17,18.1291
501,16,1012,218,432,32.46,37.8907
502,7,530,129,745,43.21,15.2511
503,15,330,68,588,43.46,9.1577
504,12,508,54,245,36.24,15.5098
505,11,391,55,200,41.52,10.7416
506,18,295,50,95,49.33,6.9934
507,12,862,96,484,25.86,37.0414
508,16,1109,148,432,39.46,31.8542
509,11,334,56,171,54.09,7.2101
510,12,569,64,220,45.53,13.9025
511,12,533,120,588,60.62,10.7724
512,12,548,58,112,48.93,12.3857
513,9,352,62,365,46.47,8.9093
514,14,768,74,574,47.42,17.7568
515,11,349,42,131,38.64,10.1179
516,9,432,87,276,39.37,13.1843
517,17,963,124,308,45.54,23.8669
518,13,915,75,377,43.18,22.9294
519,12,920,88,735,38.48,26.1954
520,15,1162,103,295,48.67,25.9926
521,13,470,72,319,49.29,10.9951
522,9,538,130,537,32.33,20.6627
523,12,794,118,275,46.56,19.5896
524,9,434,80,578,38.03,13.5166
525,13,376,31,355,38.46,10.5823
526,13,1004,236,380,25.48,48.6663
527,16,1073,89,495,48.31,24.0523
528,17,990,238,494,62.47,19.6568
529,8,190,16,220,45.71,4.5065
530,10,302,37,277,30.17,11.2365
531,8,543,123,362,34.51,19.2969
532,15,1074,140,424,47.59,25.5085
533,10,428,90,542,42.82,12.0975
534,17,1250,238,461,38.86,38.2956
535,11,441,39,601,52.46,9.149
536,23,738,77,858,45.44,17.9362
537,14,319,46,313,50.17,7.275
538,14,749,76,979,60.54,13.6284
539,9,193,19,965,26.62,7.9626
540,14,876,124,226,60.04,16.6561
541,14,1096,246,507,27.23,49.284
542,7,258,50,202,48.87,6.3018
543,9,518,82,365,40.47,14.8267
544,13,437,40,150,48.08,9.9205
545,14,687,107,571,29.39,27.0174
546,16,885,154,170,50.56,20.5481
547,9,263,23,225,55.34,5.1683
548,15,594,125,175,23.04,31.2097
549,10,353,67,399,50.48,8.3198
550,18,1000,241,370,24.35,50.959
551,14,663,156,747,50.53,16.2072
552,15,960,102,676,47.37,22.4181
553,15,569,57,283,52.28,11.9729
554,10,414,36,155,46.93,9.5893
555,11,428,47,192,29.62,16.0349
556,18,333,50,279,30.29,12.6455
557,8,572,60,550,49.15,12.8586
558,17,1449,312,536,33.38,52.7616
559,11,391,80,527,27.75,16.9756
560,18,1182,203,385,44.7,30.9815
561,13,795,141,252,27.02,34.6405
562,12,617,89,571,51.57,13.689
563,17,1181,154,233,32.5,41.0824
564,11,802,71,256,27.1,32.2093
565,15,889,205,163,39.9,27.4176
566,14,287,46,543,46.82,7.1125
567,13,299,64,121,8.4,43.2158
568,11,395,72,656,44.95,10.3904
569,12,303,58,1070,39.17,9.2159
570,13,855,71,255,36.06,25.6784
571,10,526,127,558,52.35,12.4739
572,13,810,119,223,47.73,19.4636
573,10,161,20,318,43.92,4.1215
574,12,746,79,317,54.79,15.0575
575,17,947,108,944,22.91,46.04
576,10,292,44,509,33.23,10.1116
577,9,254,42,374,50.42,5.8711
578,12,891,206,269,24.18,45.3664
579,12,332,46,284,49.2,7.683
580,12,347,61,275,28.74,14.1943
581,8,485,58,122,47.97,11.3204
582,15,1047,132,275,31.06,37.9592
583,17,509,110,292,35.16,17.606
584,22,944,211,650,42.33,27.2888
585,8,348,29,191,42.2,8.9334
586,14,474,106,163,26.91,21.5503
587,11,420,62,84,34.64,13.914
588,13,234,48,203,37.94,7.4323
589,9,613,101,550,46.39,15.3905
590,8,648,138,872,47.51,16.5442
591,12,684,81,220,53.37,14.3336
592,14,557,96,596,46.13,14.1551
593,11,299,34,105,35.55,9.3664
594,6,318,50,244,40.13,9.1706
595,4,318,47,277,39.98,9.1285
596,11,775,193,273,40.02,24.1899
597,14,1177,269,1025,33.03,43.7781
598,17,1296,180,512,29.17,50.6011
599,15,274,67,66,47.75,7.1412
600,16,284,70,361,27.72,12.7684
601,13,588,101,498,58.6,11.7578
602,15,1035,132,613,35.87,32.536
603,13,337,62,619,40.11,9.9485
604,12,623,81,90,40.63,17.3292
605,11,248,25,299,59.62,4.5786
606,11,397,98,416,57.19,8.6553
607,5,172,34,165,31.95,6.4484
608,11,566,112,301,32.49,20.8676
609,10,171,23,107,32.18,6.029
610,10,676,127,885,30.56,26.2744
611,16,844,90,402,46.81,19.952
612,9,354,82,664,26.96,16.1745
613,11,808,193,268,31.21,32.0712
614,9,288,62,287,44.5,7.8656
615,11,786,154,737,47.62,19.7408
616,16,793,101,115,24.87,35.944
617,11,332,53,199,46.95,8.2
618,13,524,82,126,14.37,42.1665
619,11,500,100,199,26.98,22.2352
620,14,213,46,86,25.46,10.1729
621,11,580,61,210,60.33,10.6253
622,16,781,144,40,35.19,26.2869
623,9,547,54,424,40.4,14.8763
624,8,758,96,998,20.36,41.9502
625,18,549,71,164,47.21,13.1334
626,12,198,40,158,42.49,5.6017
627,13,559,68,240,40.98,15.3011
628,12,792,139,420,43.9,21.2087
629,6,149,35,197,35.62,5.1657
630,8,427,104,184,40.06,13.2554
631,13,727,73,798,37.21,21.4977
632,16,656,100,222,37.06,20.3985
633,18,784,162,232,42.0,22.525
634,16,732,145,206,29.25,29.9872
635,8,306,53,246,47.25,7.5984
636,9,236,23,90,49.16,5.2682
637,8,267,36,289,43.65,6.9417
638,15,705,62,758,46.87,16.3645
639,11,783,188,537,49.93,19.4486
640,11,767,119,445,34.38,25.7727
641,10,140,27,68,23.35,7.1513
642,12,775,145,540,48.82,18.8466
643,9,448,60,163,30.33,16.7471
644,7,336,37,307,31.79,11.7315
645,9,418,47,233,55.22,8.4201
646,15,282,65,483,46.6,7.4458
647,9,210,20,447,49.88,4.6115
648,16,636,59,615,51.22,13.5682
649,11,377,84,310,35.86,12.8552
650,11,563,46,72,52.11,11.6858
651,14,689,119,616,47.54,16.9974
652,15,1019,119,483,20.35,55.9087
653,10,201,36,438,45.97,5.1559
654,9,438,70,233,45.31,11.2104
655,12,651,124,326,36.65,21.1456
656,18,737,150,144,48.43,18.3149
657,8,180,20,467,48.9,4.0899
658,9,625,120,162,46.31,16.0867
659,14,796,185,267,29.31,33.4711
660,14,576,71,1038,50.04,12.9292
661,11,430,101,96,42.66,12.4478
662,13,448,89,818,37.94,14.1556
663,12,420,34,327,31.56,14.3855
664,10,241,58,337,31.56,9.4747
665,20,917,97,579,43.9,23.0982
666,11,558,120,315,27.11,25.0109
667,6,338,70,128,51.3,7.9526
668,13,555,49,803,21.84,27.6516
669,12,698,151,576,34.68,24.4833
670,12,1057,138,650,49.45,24.1643
671,12,799,184,139,60.09,16.3598
672,17,715,63,497,46.63,16.6862
673,9,247,52,135,36.21,8.2578
674,8,372,80,379,52.96,8.5349
675,12,726,123,511,45.29,18.7473
676,6,259,48,328,34.06,9.0124
677,9,620,142,536,39.32,19.3815
678,10,602,54,129,58.77,11.1629
679,17,467,42,151,31.59,16.1128
680,8,547,132,307,30.16,22.5129
681,9,260,46,384,47.48,6.4447
682,13,775,82,358,40.69,21.0634
683,14,579,140,215,25.12,28.62
684,11,688,82,233,43.04,17.8924
685,13,574,124,210,45.72,15.2663
686,9,250,59,229,32.18,9.6013
687,19,1083,202,502,55.65,23.0898
688,5,247,22,136,9.98,26.9628
689,10,694,121,558,44.36,18.3725
690,18,1192,136,331,49.59,26.7806
691,8,311,28,160,27.66,12.2567
692,6,240,45,803,56.45,5.0488
693,11,396,40,449,54.03,8.0694
694,13,711,167,509,58.29,15.0619
695,10,610,136,653,31.71,23.5261
696,13,613,131,147,49.32,15.0864
697,8,420,73,351,48.8,10.1018
698,13,498,106,343,45.46,13.287
699,9,227,44,256,28.52,9.5027
700,13,404,44,229,31.75,14.1105
701,9,238,36,386,22.6,12.1232
702,14,747,86,1102,31.73,26.2567
703,12,545,62,452,54.5,11.137
704,12,639,159,203,32.76,24.362
705,14,875,197,212,38.34,27.9572
706,7,246,27,162,44.66,6.1122
707,13,242,40,496,19.34,14.5824
708,13,452,110,292,39.8,14.1199
709,13,724,133,291,42.72,20.059
710,14,374,34,315,55.23,7.3867
711,16,1176,250,231,28.07,50.8092
712,11,550,64,136,39.21,15.659
713,10,392,92,230,44.26,10.9355
714,15,977,209,564,42.75,27.7439
715,14,1035,234,267,36.89,34.4005
716,11,488,89,697,35.64,16.1909
717,9,538,131,241,31.92,20.9569
718,13,402,70,532,47.27,9.9858
719,15,294,59,288,31.14,11.3361
720,14,1039,252,516,37.22,34.6843
721,14,1012,133,465,45.21,25.3253
722,6,367,75,1059,39.23,11.2663
723,10,322,72,809,28.99,13.5895
724,5,261,34,622,39.04,7.5557
725,9,539,87,376,35.25,17.759
726,16,656,82,273,34.94,21.1228
727,15,578,122,163,31.11,22.4994
728,10,831,188,1008,41.26,24.6976
729,11,568,79,405,49.04,13.1942
730,6,357,76,140,40.11,10.7942
